Block No,Threads,Block Size,Seq. Time,iBTM Time,TPS_Seq,TPS_iBTM,Speedup
14001079,4,144,12.103984,7.70649,11896.909315147806,18685.54945247447,1.5706221639163875
14003681,4,67,3.020271,2.380107,22183.439830399326,28149.994937202402,1.2689643784922273
14001126,4,125,5.303631,3.3394,23568.758837106125,37431.87398933941,1.588198778223633
14001137,4,153,10.830277,6.568172,14127.06249341545,23294.15246738362,1.6489027692941052
14003688,4,227,18.343456,9.83931,12374.985389885089,23070.723455201638,1.8643030862936527
14003704,4,82,1.676985,1.672261,48897.27695835085,49035.40775034519,1.0028249178806419
14001155,4,61,5.802159,3.301458,10513.3278836378,18476.685149409746,1.7574535250789196
14001168,4,95,6.395207,4.303266,14854.874908662065,22076.2555696069,1.4861286752898846
14001171,4,17,1.524228,1.449941,11153.187056004746,11724.615001575927,1.0512344985071806
14001175,4,6,0.031993,0.032047,187541.02459913105,187225.01326177176,0.9983149748806441
14001176,4,88,5.703023,3.339728,15430.41295818025,26349.451212793378,1.7076309807265742
14003719,4,280,23.107805,11.851238,12117.118004068323,23626.22369072328,1.9498220354700495
14001193,4,506,16.846276,12.441211,30036.311882816117,40671.28191942087,1.3540704357477742
14003730,4,279,17.514774,9.58759,15929.40908058534,29100.11796499433,1.8268171667749662
14001207,4,142,15.09421,8.166502,9407.580787600013,17388.10570302928,1.8483078801670534
14001234,4,32,1.092266,1.08925,29296.892881404347,29378.012393848974,1.0027688776681203
14003766,4,263,20.921961,11.331702,12570.523384495364,23209.223115821434,1.8463211439905496
14003807,4,0,0.001067,887.0,0.0,0.0,1.2029312288613304e-06
14001243,4,176,11.414732,6.940523,15418.671239938003,25358.319538743694,1.6446501221881984
14003812,4,87,7.70412,4.392129,11292.658992850578,19808.16137230942,1.754074163122258
14001260,4,139,4.914265,3.8621,28285.0029455066,35990.782216928616,1.2724333911602497
14001262,4,26,1.481608,1.4734,17548.501357984027,17646.260350210396,1.0055707886520973
14003819,4,166,11.337137,6.229191,14642.14466139026,26648.725332069604,1.8200015058135157
14001274,4,166,9.362267,6.333039,17730.748332642084,26211.744472124676,1.478321387251839
14003839,4,187,9.949569,5.69434,18794.78397506465,32839.626717055886,1.7472734329175987
14003842,4,89,9.126977,5.679843,9751.31196232882,15669.447201269471,1.606906564142706
14001316,4,299,18.868995,11.605634,15846.100971461381,25763.3490768363,1.6258478425220029
14003925,4,181,7.884483,5.725744,22956.48300592442,31611.612394825897,1.3770233178430613
14003951,4,33,1.408317,1.434191,23432.22442106429,23009.48757871162,0.9819591672238914
14001338,4,129,12.874156,7.336752,10020.074325648999,17582.712350097157,1.7547486953354836
14003960,4,72,5.170082,3.20319,13926.278151874576,22477.592649827202,1.6140416272528322
14003979,4,49,2.931316,2.912608,16716.04153219919,16823.41049670948,1.006423109460662
14001370,4,242,26.13342,13.955691,9260.173371874022,17340.59603354646,1.8725995008058003
14004016,4,201,17.712607,21.176248,11347.84958532643,9491.766435678312,0.8364374557759239
14001412,4,128,10.242122,6.091123,12497.41020464314,21014.18736741977,1.6814833652185321
14004037,4,173,10.740328,9.217031,16107.51552466554,18769.601621172806,1.1652698141082523
14001420,4,64,5.204569,3.317356,12296.887600106753,19292.472680050014,1.568890706936488
14004047,4,245,14.162468,10.90647,17299.244736157565,22463.73024452458,1.2985382071375982
14004069,4,28,2.024011,2.023352,13833.916910530626,13838.42257797951,1.0003256971599601
14001423,4,200,19.569546,10.233782,10219.961158015623,19543.117099817056,1.9122496453412823
14001434,4,12,0.666976,0.668059,17991.65187353068,17962.485349347888,0.9983788856972214
14001438,4,68,4.331251,3.215468,15699.852075070226,21147.776933248908,1.3470048527928127
14004076,4,207,15.634092,8.931258,13240.295630855951,23177.02612554693,1.7504915880831122
14001544,4,190,12.977099,7.710141,14641.176737574398,24642.86969589791,1.683120840461932
14001577,4,44,2.541485,2.531319,17312.7128430819,17382.242222335473,1.0040160880552789
14004139,4,245,11.862952,7.697512,20652.532354510076,31828.46613295309,1.5411410855871353
14001592,4,175,13.84804,8.253893,12637.167425859545,21202.11638314187,1.6777586043337367
14004153,4,176,12.186507,10.274509,14442.202347235347,17129.772332673027,1.186091422957535
14001593,4,163,11.430151,6.332605,14260.529016633287,25739.802182514148,1.8049682555599158
14004219,4,187,14.213105,8.849402,13156.871774323767,21131.37136272033,1.6061090907611613
14001595,4,313,20.753632,11.427106,15081.697507212231,27391.012212540954,1.8161756791264558
14004221,4,405,29.957801,17.129666,13519.016298959994,23643.193042993364,1.7488841288557524
14001621,4,330,19.106704,11.185713,17271.42473134037,29501.919099837443,1.7081346535531532
14004227,4,38,3.493052,3.488234,10878.73870758294,10893.764581160554,1.001381214677685
14001668,4,104,5.427806,3.285979,19160.596380931816,31649.6240542012,1.6518078782609384
14004236,4,181,14.299031,8.378387,12658.200405328165,21603.20357605826,1.7066567825047947
14001675,4,692,9.398987,13.791646,73624.95554042155,50175.301773261875,0.6814985680461926
14001699,4,29,2.406024,2.396923,12053.080102276619,12098.845060938545,1.0037969513413656
14004264,4,469,20.369365,12.343288,23024.772740829187,37996.35883080748,1.650238169926846
14001720,4,95,15.30832,9.789257,6205.775682765973,9704.51587898857,1.5637877317961926
14004267,4,60,3.995145,2.462855,15018.22837468978,24361.970152526235,1.6221600540835739
14001749,4,314,19.491511,12.029783,16109.577138478387,26101.883965820496,1.6202712052245662
14001761,4,0,893.0,898.0,0.0,0.0,0.9944320712694877
14001768,4,55,6.346678,3.594468,8665.95091164228,15301.290761247561,1.7656793717456936
14004274,4,443,29.173225,15.978857,15185.15693756861,27724.135712585703,1.8257391626948034
14001780,4,118,11.467343,7.303584,10290.090738543358,16156.45140796628,1.570098050491375
14004292,4,115,9.256723,5.361239,12423.402968847615,21450.26550765597,1.7266014441810928
14001819,4,154,10.278598,7.51823,14982.588092267059,20483.54466410312,1.367156631281565
14004313,4,190,13.853267,7.592176,13715.17635515146,25025.76336481135,1.8246767461660531
14004318,4,0,870.0,872.0,0.0,0.0,0.9977064220183486
14004321,4,66,4.713844,2.855144,14001.311880494985,23116.172073982958,1.6510004399077594
14001833,4,234,19.595993,12.688235,11941.216757936176,18442.281373256406,1.5444222935656535
14001845,4,153,10.884622,6.255532,14056.528559282995,24458.351423987602,1.7399994117206978
14001847,4,63,4.670879,2.902547,13487.825310824794,21705.074887676237,1.609234579147211
14001868,4,35,1.891425,1.881298,18504.566662701403,18604.176478154975,1.0053829855769794
14004354,4,337,30.587473,15.170183,11017.582263170285,22214.629843291936,2.016288992690464
14004401,4,119,8.02119,4.804483,14835.703929217483,24768.533888037484,1.6695219860284656
14004429,4,47,1.869708,1.903141,25137.615071444314,24696.01569195346,0.982432725688743
14001973,4,131,11.76326,7.025008,11136.368659708278,18647.665596964445,1.674483502367542
14004462,4,98,5.413408,3.282185,18103.198576571354,29858.158513307448,1.6493305526653739
14001978,4,138,8.779752,5.138131,15717.98383371193,26858.015103157162,1.7087442885360458
14001986,4,180,17.236709,9.546624,10442.828732561416,18854.832870761435,1.8055292635386082
14004483,4,388,23.850004,13.11042,16268.34108707068,29594.78033503122,1.8191639932206596
14001990,4,164,17.077152,9.677615,9603.474865129734,16946.32406848175,1.764603365601959
14004522,4,690,19.260339,14.490694,35824.91460820082,47616.76700922675,1.329152282147425
14004524,4,118,7.274104,4.346835,16221.929188804559,27146.187973548575,1.6734253773147592
14001994,4,336,22.411098,12.813472,14992.57198375555,26222.400923028512,1.7490261811942929
14004529,4,192,11.804062,7.549413,16265.58721904375,25432.440906332715,1.5635734857796229
14002005,4,188,18.542502,11.139643,10138.869069557064,16876.66292357843,1.664550829860526
14002015,4,65,8.449311,5.023287,7692.934962389241,12939.734480629915,1.6820283212963942
14004558,4,340,34.972008,18.015212,9722.061141013119,18872.93915830688,1.9412487624347694
14004559,4,99,5.888394,3.942409,16812.7336587871,25111.54981636862,1.4936030229232937
14002070,4,286,26.904027,15.95198,10630.378864844284,17928.80883752362,1.686563486162846
14002074,4,91,8.279676,5.868417,10990.768237790948,15506.73716608755,1.4108874676083858
14004565,4,100,15.397693,24.64926,6494.4794002582075,4056.916921643895,0.6246716128597775
14002079,4,395,27.981119,23.402173,14116.662024846111,16878.774462525336,1.1956632830635001
14004574,4,472,39.824463,26.924369,11852.011664287851,17530.58725350258,1.479123354757172
14002090,4,220,13.015825,7.718647,16902.501378130084,28502.404631277997,1.6862832307268358
14002174,4,141,13.726656,7.671681,10271.984669827814,18379.283497319557,1.789263135419734
14004599,4,170,14.638448,9.863466,11613.2529896612,17235.320728028055,1.4841079190621227
14002190,4,26,2.074614,2.081402,12532.451819953014,12491.580194503513,0.9967387366784503
14002194,4,225,17.583718,9.072213,12795.928597126045,24801.005002858732,1.938195013719365
14002224,4,49,1.692464,1.680469,28951.87135442763,29158.526577996978,1.0071378882918995
14002247,4,0,865.0,868.0,0.0,0.0,0.9965437788018433
14004635,4,436,33.771711,17.705351,12910.213521606885,24625.323722754776,1.9074296239594462
14002282,4,151,10.912062,6.633504,13837.89791516947,22763.233428366064,1.6449921489457155
14002297,4,46,5.718206,3.240515,8044.481083752492,14195.274516550611,1.7645979111344958
14004651,4,106,5.906161,3.593325,17947.36039197035,29499.14076795169,1.6436478748791161
14002328,4,225,16.155258,9.289798,13927.354177816289,24220.11759566785,1.7390322157704614
14002394,4,29,6.455578,6.448288,4492.2391147624585,4497.317737669286,1.001130532631297
14004653,4,435,31.521636,16.391814,13800.045149940823,26537.63640802659,1.9230108394348546
14002402,4,197,8.210681,5.70025,23993.137719027207,34559.88772422262,1.440407175123898
14004713,4,132,6.997051,4.368836,18865.090450248255,30213.99750414069,1.6015824352298873
14002427,4,71,6.710219,3.726785,10580.876719522865,19051.273416631226,1.8005382655559685
14004715,4,81,3.650976,2.166064,22185.848386842314,37395.016952407685,1.6855346841090568
14002462,4,394,24.783799,14.440239,15897.482060760742,27284.866960996973,1.716301163713426
14004782,4,373,22.190914,13.739617,16808.681246748107,27147.77275087071,1.6151042638233655
14004788,4,53,3.790967,3.73726,13980.601783133432,14181.512659006867,1.014370688686364
14002477,4,383,26.608819,14.723042,14393.7241258246,26013.645821291553,1.807290843835126
14002496,4,74,10.066578,6.351251,7351.058125213951,11651.247919504362,1.5849756213382213
14004792,4,350,32.478167,17.111261,10776.47023614356,20454.36627960967,1.8980580683095185
14002514,4,476,19.200217,12.034603,24791.38647235081,39552.61340984825,1.5954175638365469
14004794,4,207,22.669728,11.458597,9131.119702891892,18065.03885248779,1.9784034642286485
14002523,4,79,7.04735,4.256424,11209.887404485375,18560.18103459618,1.6556973647362199
14004810,4,137,5.909674,4.271477,23182.327823835967,32073.214955857187,1.3835200330002948
14004814,4,30,3.39849,3.423182,8827.449838016297,8763.77592544013,0.9927868281616343
14004832,4,23,0.36622899999999997,0.283384,62802.235759593044,81161.95692064478,1.2923418400474267
14002531,4,410,23.191015,13.690211,17679.260696437825,29948.406200605677,1.6939852132300957
14004833,4,205,19.360173,10.286038,10588.748354676376,19929.92831642271,1.8821798052855725
14002536,4,64,4.083693,2.549731,15672.088964572018,25100.687092089323,1.6016171902055552
14002538,4,71,6.864707,3.9467,10342.75752774299,17989.71292472192,1.739353637215902
