Block No,Threads,Block Size,Seq. Time,iBTM Time,TPS_Seq,TPS_iBTM,Speedup
14003093,16,38,5.5312,2.109054,6870.118599942146,18017.55668655236,2.622597619596274
14003105,16,98,5.639424,2.5853,17377.661264696537,37906.6259234905,2.181342203999536
14003132,16,755,18.957226,13.263697,39826.502042018175,56922.28946424213,1.429256563988155
14003172,16,84,7.94488,1.860494,10572.846915246046,45149.299057132135,4.270306703488428
14003222,16,267,21.17652,3.985707,12608.303913957534,66989.36976551462,5.313115088489947
14003237,16,168,15.204317,3.258648,11049.493377440105,51555.123474520726,4.66583595405211
14003248,16,24,2.265345,2.260733,10594.412771564597,10616.02586417768,1.0020400463035661
14003316,16,504,22.01815,5.144306,22890.206488737702,97972.39899803782,4.280101144838584
14003351,16,94,7.646923,1.710136,12292.5260264815,54966.388638096614,4.471529164931912
14003391,16,96,8.334396,1.905089,11518.531156906873,50391.346546014385,4.374806636330376
14003395,16,305,27.00841,8.233268,11292.778804824127,37044.82837191744,3.2803997149127175
14003409,16,261,13.889915,2.863746,18790.611749603937,91139.3678070611,4.85026081223684
14003410,16,8,0.567075,0.564867,14107.481373715998,14162.625892466722,1.003908884746321
14003412,16,83,4.947055,1.276493,16777.65862720346,65021.89984590593,3.8755049968938327
14003414,16,691,22.082487,11.946884,31291.76527987993,57839.34957433251,1.8483888351138253
14003430,16,428,23.773215,5.936208,18003.4547283571,72099.89946443925,4.004781335155372
14003485,16,211,15.228779,3.882061,13855.345855370284,54352.571997194274,3.922859275008816
14003500,16,120,9.506753,2.549592,12622.606267355426,47066.35414607513,3.728735028977185
14003518,16,343,25.563214,9.308393,13417.718132000147,36848.46568038114,2.7462542675196455
14003541,16,102,8.961772,1.805889,11381.677641430735,56481.876793091935,4.962526489723344
14003549,16,110,7.526743,1.639159,14614.55506053548,67107.5838280484,4.591832152951604
14003561,16,169,7.800121,1.920073,21666.330560769507,88017.48683513596,4.062408564674364
14003570,16,75,4.770546,1.212414,15721.470875660772,61860.057703061815,3.9347500111348106
14003573,16,383,34.078906,11.67483,11238.623681170984,32805.61686979596,2.919006615085616
14003587,16,133,11.151979,3.342782,11926.134365927337,39787.21914860137,3.3361370858165444
14003601,16,137,4.335443,1.55257,31600.000276788327,88240.78785497593,2.7924299709513902
14003611,16,35,2.387815,2.381971,14657.75196152131,14693.713735389725,1.0024534303734176
14003613,16,10,1.233521,1.230602,8106.874548548423,8126.104134399262,1.0023720097968312
