Block No	Threads	Block Size	Seq. Time	iBTM Time
21634431	16	154	19.640575ms	5.026838ms
21634433	16	277	28.296614ms	9.836557ms
21634458	16	176	38.851847ms	20.543449ms
21634472	16	122	13.33139ms	3.866983ms
21634535	16	261	23.784739ms	6.007964ms
21634556	16	124	12.115942ms	3.36112ms
21634572	16	286	26.892989ms	7.471513ms
21634577	16	120	18.627289ms	6.38635ms
21634596	16	193	25.085713ms	8.908204ms
21634625	16	76	8.471054ms	4.015983ms
21634653	16	179	21.625715ms	6.600506ms
21634669	16	222	21.33226ms	6.092098ms
21634706	16	70	4.817861ms	2.070446ms
21634833	16	221	37.389915ms	14.554132ms
21634835	16	140	18.222752ms	6.833962ms
21634843	16	97	3.262563ms	1.807878ms
21634858	16	127	12.441586ms	3.9379ms
21634866	16	138	17.420549ms	3.854237ms
21634904	16	251	26.931225ms	6.920942ms
21634921	16	196	14.403791ms	2.995874ms
21634944	16	152	16.010756ms	3.689134ms
21634982	16	116	14.02755ms	3.972534ms
21634995	16	144	15.386323ms	3.075792ms
21634999	16	160	17.793277ms	3.183611ms
21635020	16	137	16.920129ms	3.70208ms
21635102	16	134	14.996295ms	4.122174ms
21635113	16	83	7.375761ms	2.124964ms
21635126	16	270	22.503685ms	4.270062ms
21635191	16	177	18.898403ms	3.801056ms
21635197	16	183	26.504138ms	5.851049ms
21635210	16	208	24.351598ms	6.633823ms
21635218	16	159	13.687348ms	2.662763ms
21635219	16	183	15.266129ms	3.927268ms
21635250	16	240	38.349836ms	8.017745ms
21635266	16	186	26.411034ms	9.614105ms
21635291	16	159	15.147901ms	3.121209ms
21635293	16	164	16.918783ms	3.695586ms
21635301	16	166	17.569107ms	3.244828ms
21635302	16	177	22.436385ms	5.699988ms
21635310	16	268	30.376772ms	7.04374ms
21635313	16	188	19.502705ms	5.038962ms
21635314	16	144	18.724915ms	6.683709ms
21635336	16	211	25.035632ms	8.456207ms
21635377	16	186	48.171149ms	22.624934ms
21635382	16	151	19.151956ms	4.00451ms
21635385	16	180	11.190266ms	3.031378ms
21635386	16	101	17.01618ms	4.268986ms
21635395	16	149	18.26051ms	3.966849ms
21635408	16	171	23.166197ms	5.623616ms
21635429	16	153	18.529469ms	4.436565ms
21635432	16	167	19.299253ms	3.239557ms
21635556	16	229	29.53464ms	7.430834ms
21635575	16	172	24.346493ms	4.547784ms
21635592	16	159	22.796851ms	5.234113ms
21635600	16	378	27.845954ms	5.796668ms
21635601	16	64	21.51693ms	16.645607ms
21635613	16	19	23.654679ms	17.918594ms
21635652	16	157	12.283027ms	3.174174ms
21635667	16	119	13.680358ms	3.225671ms
21635672	16	136	13.167439ms	2.77408ms
21635675	16	170	21.650167ms	6.184892ms
21635693	16	221	15.281291ms	3.630971ms
21635704	16	190	25.268569ms	5.918323ms
21635757	16	453	25.732326ms	7.687011ms
21635787	16	185	20.127909ms	3.787899ms
21635834	16	123	13.937587ms	3.941531ms
21635867	16	118	11.432505ms	3.897263ms
21635882	16	275	22.164273ms	3.827421ms
21635925	16	146	17.481022ms	4.656826ms
21635932	16	284	31.817517ms	6.970675ms
21635946	16	104	8.932665ms	3.457438ms
21635963	16	190	18.76753ms	3.531769ms
